ID	SEX	MATURES	CHILDS	PHYSS	SELFDET	EXTSCORE	DATEDUR	SERIOUS	ALCFREQ	BP
198	1	2.5	3.2	1.16667	4.86667	-16	3	4	3	2.10345
199	1	2	1.6	1	3.6	-24	2	3	2	2.17241
200	1	2	2.2	1	5.33333	-4	1	2	3	2.10345
201	2	2	2	1.16667	3.33333	-18	4	4	4	2.93103
202	2	2.5	1	1	6.6	-27	2	4	3	1.82759
203	1	4.5	3	2.83333	-0.66667	-5	1	2	4	3.17241
204	1	3.5	4.8	3.33333	3.93333	-27	5	4	4	3.7931
205	1	2.5	2.4	1	3.66667	-7	3	3	3	2.2069
206	1	3.5	2.6	1	4.66667	-33	5	4	3	1.72414
207	1	3	1.8	1	2.66667	-30	3	4	2	1.75862
208	1	4	1.4	1	3.46667	-24	5	4	2	1.2069
209	1	4	2	1	4.66667	-30	3	4	1	2.44828
210	2	4.5	3	1.5	0.93333	18	5	4	2	2.72414
211	1	4.5	1.8	1	0.86667	1	1	3	3	2.55172
212	1	2	1.4	1	2.86667	-26	1	2	1	1.89655
213	1	1.5	2.6	1	3.4	-14	1	1	3	1.75862
214	1	5	2.4	1	2.2	-10	5	4	1	1.37931
215	1	2.5	1.2	1	3.2	-33	3	3	2	1.58621
216	2	3	1.8	1.16667	1.06667	-18	2	2	2	2.31034
217	1	2	2.2	1.33333	5.73333	-36	3	3	2	2.10345
218	1	5	2.4	1	4.53333	-37	5	3	3	2.41379
219	2	3	3	1.33333	4.4	3	4	4	1	2.89655
220	2	4	2.8	1.16667	2.53333	-6	5	4	3	3.27586
221	1	2.5	2.4	1	2.8	2	5	4	2	2.17241
222	1	3	2.6	3.33333	-0.06667	-1	2	2	2	2.27586
223	1	3	1.6	1	3	-45	1	2	3	1.37931
224	1	3.5	4	1.33333	4.73333	-21	4	4	3	1.96552
225	1	2.5	1.6	1	-0.4	-22	3	3	4	2.2069
226	1	5	1.8	1	3.93333	-24	5	3	3	2.58621
227	1	3	1.6	1	2.13333	-28	4	3	2	2
228	2	3.5	1.6	1	0.53333	.	5	4	3	2.89655
229	1	3	1.8	1.2	2.46667	-25	2	3	3	2.10345
230	1	.	.	.	.	.	3	3	3	.
231	1	2	1.6	1	1	-21	5	4	2	2.32143
232	2	2.5	2	1	4	-12	4	4	3	3
233	2	3	2.6	1.16667	6.26667	-30	3	5	2	2.65517
234	1	2.5	1.8	1	1.13333	-17	4	3	2	1.89655
235	1	3	2.2	1	4.86667	-42	3	3	3	1.89655
236	1	5	1.6	1	4.66667	.	2	5	2	2.27586
237	1	2.5	2	1	5.6	-33	3	5	2	1.34483
238	1	3.5	3	1	4.6	-19	3	3	1	2.17241
239	1	3	2.2	1.16667	0.46667	-3	1	3	3	2.17241
240	1	4	2.6	1.16667	6.06667	-26	4	4	1	2.24138
241	2	3	1.4	1	4	-23	3	4	4	1.96552
242	1	3	1.6	1	1.6	-31	3	3	2	2.7931
243	2	1.5	1.6	1	-0.86667	-2	4	3	3	2.72414
244	1	1.5	1.6	1	2.4	-2	2	2	2	2.75862
245	1	2.5	3	1.16667	5.26667	-12	5	4	3	2.10345
246	1	3	1.8	1	4.66667	-27	1	2	1	2
247	2	2.5	2.4	1	-1	0	5	3	2	1.31034
248	1	2	1.4	1	3.93333	-17	4	4	2	1.55172
249	1	3.5	2.4	1.16667	2.53333	0	1	2	3	2.65517
250	2	4	3	2.16667	2.13333	-6	5	3	4	2.34483
251	2	3.5	2.8	1.16667	5	-8	5	4	3	2.24138
252	1	4	2.2	1	5.4	-40	3	4	2	2.55172
253	1	5	2.2	1	5.86667	-29	5	4	2	2.31034
254	2	3.5	1.6	1	5.66667	-35	4	4	3	3.2069
255	1	2	1.2	1	1.8	-9	3	4	2	2.82759
256	2	4	2	1	2.4	-37	4	4	1	2.44828
257	1	2	1	1	5.33333	-8	1	3	3	2.27586
258	2	3.5	2	1	1.53333	-11	5	5	2	2.86207
259	2	2.5	3.2	1	0	5	5	4	2	2.82759
260	1	3	2	1	4.26667	-30	5	4	2	2.34483
261	1	3.5	2.6	1	5.06667	-23	5	4	3	2.31034
262	1	3	1.8	1	3.06667	-46	2	3	2	1.34483
263	1	2.5	1.8	1	2.13333	-44	3	4	1	1.96552
264	2	3.5	1.4	1.33333	4.8	5	3	4	3	2.13793
265	1	2	3.6	1	5	-20	3	3	1	1.75862
266	1	2	1.6	1	3.93333	-18	1	3	3	2.51724
267	1	4	2	1	4.2	-17	4	3	2	2.17241
268	2	2	1.8	1.16667	3	-36	1	2	3	2.10345
269	1	2.5	2.2	1.16667	5	-35	5	4	2	2.34483
270	1	3	1.2	1	4.6	-33	5	4	3	2.2069
271	1	1	1.8	1.83333	4.6	-25	1	2	2	2.34483
272	1	2	2	1	5.86667	-17	5	3	2	2.06897
273	1	3	2	1	2.06667	-29	3	3	3	1.48276
274	1	2	1.2	1.16667	3.93333	-35	1	3	3	1.89655
275	1	2	2	1.16667	-0.06667	-22	5	4	2	2.27586
276	2	4	1.4	1.16667	4.93333	-12	4	3	5	1.7931
277	1	2.5	2	1	2.33333	-26	3	4	1	3.31034
278	1	3.5	1.2	1	3.13333	-30	4	4	3	1.37931
279	1	3	2.8	1	4.2	-23	3	3	3	2.65517
280	1	3.5	1.2	1	5.33333	-38	4	4	3	1.82759
281	2	3	1.4	1	0.46667	-14	1	2	3	2.86207
282	1	2	3	1	2.33333	-19	2	3	3	3.13793
283	2	4.5	1.6	1.16667	2.33333	-21	4	4	3	2.48276
284	2	5	2.4	1.33333	2.26667	-8	3	4	3	2.93103
285	1	2.5	1.6	1	3.2	-15	1	2	2	1.44828
286	1	2.5	1.4	1	7.33333	-16	5	4	2	1.93103
287	1	3.5	2	1	3.26667	-37	4	4	2	1.89655
288	1	3	1.4	1	4.4	-45	5	4	1	1.48276
289	1	2	1.6	1	4.4	.	5	4	4	2.7931
290	1	3	2.2	1	-0.4	-8	5	3	1	2.7931
291	2	1.5	1	1	3.46667	-5	1	4	1	2.58621
292	1	2.5	3.2	1.16667	2.86667	-28	5	4	2	2.93103
293	1	3.5	1.2	1	3.66667	-8	3	4	3	2.10345
294	1	2.5	1.8	1	3.6	-30	3	4	2	2.37931
295	1	4	2.2	1	3.06667	-21	4	3	2	1.58621
296	1	2	2.8	1.5	0.53333	-12	5	3	3	3.34483
297	1	4.5	2.6	1.16667	4.73333	-26	5	4	2	2.62069
298	2	3.5	2.6	3.8	2.46667	3	3	3	3	3.17241
299	1	2.5	1.8	1.16667	3.8	-33	1	3	1	3
300	2	2	2.2	1	-0.8	-30	1	1	3	3.51724
301	1	3	2.6	1	4.86667	-24	5	4	2	1.41379
302	1	2.5	2	1	3.86667	-29	2	4	2	2.06897
303	1	3	1.6	1	3.13333	-27	1	1	2	1.48276
304	1	2.5	1.4	1	3.33333	-33	4	3	1	2.27586
305	1	2	2.2	1	3.46667	8	5	5	3	1.86207
306	1	2.5	1.8	1	1.93333	-35	5	4	2	1.89655
307	1	2.5	2.4	1	0.53333	-20	3	4	3	2.72414
308	1	3	2.2	1	4.4	-20	5	4	2	2.24138
309	1	4	3.2	1	1.2	-12	4	3	3	2.31034
310	2	3	4.4	2.16667	4.33333	-16	3	4	3	3.75862
311	1	3	1.6	1	3.06667	-26	3	3	3	1.89655
312	1	3	1	1	3.73333	-22	3	4	2	2.75862
313	1	3.5	1.4	1	4.46667	-12	2	2	3	1.89655
314	1	2.5	4	4	-0.53333	-4	5	3	4	1.62069
315	1	4	2.6	1.33333	3.33333	-22	5	2	1	1.96552
316	1	2	2.6	1.16667	4.26667	-12	2	4	2	2.10345
317	1	3.5	3.4	1.66667	3.8	-30	4	4	2	2.13793
318	2	.	.	.	.	.	5	4	2	.
319	1	3.5	2.2	1	0.06667	-41	3	4	1	3
320	2	3.5	1.6	1.16667	4.4	-16	5	4	4	3.51724
321	2	5	2.5	1.16667	3.66667	-23	3	4	3	3.41379
322	1	3	1.4	1	5.26667	-41	3	4	3	1.62069
323	2	2.5	2	1.5	2	6	4	4	2	2.68966
324	1	3	2	1	4.2	-30	4	4	1	1.75862
325	2	4.5	2.4	1	-0.46667	5	4	3	3	3.31034
326	2	2	1.2	1.16667	-0.2	-29	1	1	3	2.82759
327	2	4.5	2.4	1	2.53333	-27	4	4	3	2.41379
328	2	3	2	1	3.86667	-18	5	5	2	2.86207
329	1	4.5	2.6	1	3.53333	-21	4	4	3	2.82759
330	1	4	3.2	1	5.2	-39	3	4	2	2.7931
331	2	3	1.2	1	5.13333	-13	3	4	3	2.86207
332	1	3.5	2.2	1	4.13333	-32	5	3	2	1.75862
333	1	3.5	1.4	1	4.46667	-25	5	4	2	1.55172
334	2	3.5	1.6	1	3.33333	-48	3	3	3	1.93103
335	1	2	1.6	1	5.4	-21	2	4	3	1.96552
336	2	2	1.8	1	2.13333	-17	5	3	3	2.48276
337	1	2	2	1	4.13333	-22	1	1	2	1.93103
338	2	.	.	.	.	.	1	3	3	.
339	2	4	2.8	1.33333	4.6	-7	5	4	4	3.03448
340	2	4	2.6	1.16667	3	3	2	4	3	2.89655
341	1	5	3	1	4.66667	-33	5	5	2	2.58621
342	2	3.5	2.8	1.83333	2.2	-19	1	2	3	3.27586
343	1	2	2.2	1	4.4	-32	1	1	2	1.58621
344	1	2.5	3	1.66667	2.33333	.	1	3	3	3.31034
345	2	3	1	1.16667	5.5	-20	4	3	3	2.17241
346	1	4	1.4	1	3.93333	-18	5	4	1	1.7931
